"unweighted_correlation","weighted_correlation","key"
0.721296720641821,0.76792904251856,"GB1_2015"
0.708954339156087,0.731389603053431,"GB1_2019"
0.72321779313349,0.778792161453198,"GB1_2024"
0.676999428050387,0.727644049730723,"FR1_2015"
0.753169557735504,0.798014411471295,"FR1_2019"
0.851043995043318,0.84283126650249,"FR1_2024"
0.831624560056636,0.804208365769055,"ES1_2015"
0.581957037743169,0.592362399848411,"ES1_2019"
0.671304796717564,0.681996795755159,"ES1_2024"
0.841297750868229,0.911342450488027,"IT1_2015"
0.821208570986229,0.862977580954647,"IT1_2019"
0.92414990230092,0.921132269966876,"IT1_2024"
0.661429089166385,0.720129610550406,"L1_2015"
0.862339553549731,0.853977473030461,"L1_2019"
0.810213305821395,0.880297287714202,"L1_2024"
