"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"AC Milan",404325000,19650874.9251945,"https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2019",4,4,66,6
"ACF Fiorentina",302225000,13344177.2304721,"https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2019",7,8,49,9
"AS Roma",392725000,16385878.7064779,"https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2019",5,6,70,5
"Atalanta BC",291425000,14901797.2272555,"https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2019",8,7,78,3
"Bologna FC 1909",129650000,5740317.35177165,"https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2019",14,14,47,12
"Brescia Calcio (- 2025)",83225000,4588869.02764513,"https://www.transfermarkt.com/brescia-calcio/startseite/verein/19/saison_id/2019",18,18,25,19
"Cagliari Calcio",167825000,7724509.48858154,"https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2019",10,10,45,13
"Genoa CFC",142375000,5080706.28187525,"https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2019",12,17,39,17
"Hellas Verona",112525000,5748610.17868209,"https://www.transfermarkt.com/hellas-verona/startseite/verein/276/saison_id/2019",17,13,49,9
"Inter Milan",606050000,29201123.7111473,"https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2019",2,2,82,2
"Juventus FC",661875000,33461513.3496561,"https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2019",1,1,83,1
"Parma Calcio 1913",128750000,5514343.868552,"https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2019",15,16,49,9
"SPAL",73625000,2995038.54516703,"https://www.transfermarkt.com/spal/startseite/verein/2722/saison_id/2019",19,19,20,20
"SS Lazio",303875000,19207454.9035647,"https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2019",6,5,78,3
"SSC Napoli",548275000,25670597.7430934,"https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2019",3,3,62,7
"Torino FC",163550000,8928080.61503714,"https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2019",11,9,40,16
"UC Sampdoria",135275000,5731463.43009253,"https://www.transfermarkt.com/sampdoria-genua/startseite/verein/1038/saison_id/2019",13,15,42,15
"US Lecce",52325000,1834885.58989546,"https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2019",20,20,35,18
"US Sassuolo",167975000,7242889.69340996,"https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2019",9,11,51,8
"Udinese Calcio",121075000,6073292.70401106,"https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2019",16,12,45,13
