"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"Athletic Bilbao",1.48e+08,6965784.25637025,"https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2015",6,7,62,5
"Atlético de Madrid",418500000,23704434.4924482,"https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2015",3,3,88,3
"Celta de Vigo",91100000,4664730.40026464,"https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2015",9,9,60,6
"Deportivo de La Coruña",61750000,3139471.02182396,"https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2015",13,10,42,15
"FC Barcelona",7.26e+08,42287497.9809401,"https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2015",1,1,91,1
"Getafe CF",49100000,2173984.21292314,"https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2015",19,17,36,19
"Granada CF",71500000,2774708.25581676,"https://www.transfermarkt.com/fc-granada/startseite/verein/16795/saison_id/2015",11,13,39,16
"Levante UD",53100000,1982455.87378764,"https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2015",17,18,32,20
"Málaga CF",77950000,2838481.17905807,"https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2015",10,12,48,8
"RCD Espanyol Barcelona",62200000,2960490.67335036,"https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2015",12,11,43,13
"Rayo Vallecano",49600000,1915626.36509246,"https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2015",18,19,38,18
"Real Betis Balompié",56400000,2233677.95545679,"https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2015",15,16,45,10
"Real Madrid",714300000,39070838.1614523,"https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2015",2,2,90,2
"Real Sociedad",119400000,6359403.46083789,"https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2015",8,8,48,8
"SD Eibar",56600000,2683539.06494381,"https://www.transfermarkt.com/sd-eibar/startseite/verein/1533/saison_id/2015",14,15,43,13
"Sevilla FC",230300000,9860974.72238919,"https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2015",5,5,52,7
"Sporting Gijón",53200000,2718582.21051565,"https://www.transfermarkt.com/sporting-gijon/startseite/verein/2448/saison_id/2015",16,14,39,16
"UD Las Palmas",32200000,1450306.31045601,"https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2015",20,20,44,11
"Valencia CF",2.54e+08,11071142.7223319,"https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2015",4,4,44,11
"Villarreal CF",140600000,7025806.62644073,"https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2015",7,6,64,4
