"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"1.FC Heidenheim 1846",72525000,3311088.81922675,"https://www.transfermarkt.com/1-fc-heidenheim-1846/startseite/verein/2036/saison_id/2024",15,15,29,16
"1.FC Union Berlin",136050000,6510589.45830524,"https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2024",13,13,40,13
"1.FSV Mainz 05",175125000,10070654.1193579,"https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2024",11,8,52,6
"Bayer 04 Leverkusen",623350000,33061004.5055918,"https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2024",2,2,69,2
"Bayern Munich",953550000,43192991.650703,"https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2024",1,1,82,1
"Borussia Dortmund",508275000,23905804.6913625,"https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2024",4,4,57,4
"Borussia Mönchengladbach",187500000,8217393.38090689,"https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2024",8,10,45,10
"Eintracht Frankfurt",431250000,21727828.708292,"https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2024",5,5,60,3
"FC Augsburg",158875000,6252552.2348585,"https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2024",12,14,43,11
"FC St. Pauli",65775000,3120848.05162295,"https://www.transfermarkt.com/fc-st-pauli/startseite/verein/35/saison_id/2024",16,16,32,14
"Holstein Kiel",47125000,2009845.26656351,"https://www.transfermarkt.com/holstein-kiel/startseite/verein/269/saison_id/2024",18,18,25,17
"RB Leipzig",513700000,24544681.1715841,"https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2024",3,3,51,7
"SC Freiburg",186200000,8955622.62707929,"https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2024",10,9,55,5
"SV Werder Bremen",1.32e+08,6899635.6189159,"https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2024",14,12,51,7
"TSG 1899 Hoffenheim",187100000,7407357.04868947,"https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2024",9,11,32,14
"VfB Stuttgart",365225000,17608231.8648833,"https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2024",6,6,50,9
"VfL Bochum",57100000,2559888.09207102,"https://www.transfermarkt.com/vfl-bochum/startseite/verein/80/saison_id/2024",17,17,25,17
"VfL Wolfsburg",296300000,12122712.7505083,"https://www.transfermarkt.com/vfl-wolfsburg/startseite/verein/82/saison_id/2024",7,7,43,11
