"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"Athletic Bilbao",375350000,18069930.875576,"https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2024",4,4,70,4
"Atlético de Madrid",542500000,27057483.9381837,"https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2024",3,3,76,3
"CA Osasuna",113275000,6511196.29377043,"https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2024",14,12,52,8
"CD Leganés",47975000,1975922.9365525,"https://www.transfermarkt.com/cd-leganes/startseite/verein/1244/saison_id/2024",20,20,40,18
"Celta de Vigo",130900000,5725705.74162679,"https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2024",11,14,55,7
"Deportivo Alavés",92350000,4257621.72190744,"https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2024",15,16,42,13
"FC Barcelona",1082650000,60504173.4888228,"https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2024",2,2,88,1
"Getafe CF",87700000,4279791.21185378,"https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2024",16,15,42,13
"Girona FC",153100000,7193689.73667148,"https://www.transfermarkt.com/fc-girona/startseite/verein/12321/saison_id/2024",10,10,41,16
"RCD Espanyol Barcelona",116975000,6883558.08080808,"https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2024",13,11,42,13
"RCD Mallorca",84875000,4130286.58381943,"https://www.transfermarkt.com/rcd-mallorca/startseite/verein/237/saison_id/2024",17,17,48,10
"Rayo Vallecano",6.8e+07,3496463.93894015,"https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2024",19,18,52,8
"Real Betis Balompié",291700000,9523314.0655106,"https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2024",6,8,60,6
"Real Madrid",1348500000,70617044.0104585,"https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2024",1,1,84,2
"Real Sociedad",345050000,17082390.955995,"https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2024",5,5,46,11
"Real Valladolid CF",81450000,2216250.24495395,"https://www.transfermarkt.com/real-valladolid/startseite/verein/366/saison_id/2024",18,19,16,20
"Sevilla FC",183900000,8289858.47889554,"https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2024",9,9,41,16
"UD Las Palmas",117300000,5769163.84488,"https://www.transfermarkt.com/ud-las-palmas/startseite/verein/472/saison_id/2024",12,13,32,19
"Valencia CF",215550000,11665355.7832401,"https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2024",8,7,46,11
"Villarreal CF",264250000,12873728.8135593,"https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2024",7,6,70,4
