"team_name","total_team_value","weighted_team_value","team_season_id","total_value_rank","weighted_value_rank","total_points","points_rank"
"AJ Auxerre",86900000,4761589.89383303,"https://www.transfermarkt.com/aj-auxerre/startseite/verein/290/saison_id/2024",14,13,42,10
"AS Monaco",411150000,19332829.8543584,"https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2024",2,2,61,3
"AS Saint-Étienne",81600000,3960568.03361832,"https://www.transfermarkt.com/as-saint-etienne/startseite/verein/618/saison_id/2024",15,15,30,17
"Angers SCO",51650000,2626481.96563867,"https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2024",18,17,36,13
"FC Nantes",114650000,5812866.22948974,"https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2024",12,12,36,13
"FC Toulouse",121600000,6000575.56526278,"https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2024",11,11,42,10
"LOSC Lille",336600000,16631507.9161655,"https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2024",4,4,60,4
"Le Havre AC",70550000,2864331.86533001,"https://www.transfermarkt.com/ac-le-havre/startseite/verein/738/saison_id/2024",16,16,34,15
"Montpellier HSC",65850000,2539415.02569729,"https://www.transfermarkt.com/montpellier-hsc/startseite/verein/969/saison_id/2024",17,18,16,18
"OGC Nice",227050000,10119292.3658284,"https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2024",8,8,60,4
"Olympique Lyon",309850000,12881704.8947247,"https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2024",5,6,57,6
"Olympique Marseille",3.58e+08,16392605.4646662,"https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2024",3,5,65,2
"Paris Saint-Germain",1.142e+09,57849814.3564356,"https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2024",1,1,84,1
"RC Lens",221450000,9006902.08888035,"https://www.transfermarkt.com/rc-lens/startseite/verein/826/saison_id/2024",9,9,52,8
"RC Strasbourg Alsace",307850000,17480980.0551145,"https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2024",6,3,57,6
"Stade Brestois 29",110650000,4482736.42741273,"https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2024",13,14,50,9
"Stade Reims",152500000,6732973.29661118,"https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2024",10,10,33,16
"Stade Rennais FC",294700000,10611793.6325063,"https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2024",7,7,41,12
